presence_id;user_id;status;status_message;last_seen_at;active_conversation_id;device_type;device_id;session_id;last_activity_at
d263344e-5a3f-4ddf-98e9-6b2be16e9c4d;symbolise incidentally address;boohoo glossy;cute abaft another;2026-02-03T17:56:54;hourly fun hm;inwardly urban;unless wildly inasmuch;supposing;2026-02-04T03:02:32
be44204e-a759-4276-aa8d-a8db004bd63c;redesign;sardonic;outfit;2026-02-03T23:10:08;tightly;while skeleton adjudge;mallard generally;unexpectedly materialise;2026-02-04T04:10:36
fe5c8dec-5253-467c-a15a-d6947e45cfbf;amid modulo foolhardy;flame gadzooks pro;consequently unfortunately;2026-02-03T22:40:09;boohoo hot since;thankfully outrageous um;irritably actually;whoa gah;2026-02-04T06:27:46
85672eaa-a83e-44c3-b7bc-71053b089d14;inasmuch;yet ha;foolishly zebra humiliating;2026-02-03T16:24:40;stingy powerless overvalue;athletic provided;selfish form;on whopping;2026-02-04T05:05:05
0de1536c-6b65-4b9d-adb9-695a0ac3d149;advanced;openly;considering rubbery;2026-02-04T07:43:34;after aggressive;so generously fast;climb after;minor;2026-02-04T01:19:53
3f5871fa-9c7d-44a6-979a-4e8f9f07cb53;even yellowish;wrongly speedily;times eek urgently;2026-02-04T02:57:38;quip fit knavishly;limping;unknown as;minus average;2026-02-03T11:29:19
40a091b1-352c-449e-b085-0a08f360ac52;inscribe;because;suffocate sashay cutover;2026-02-03T22:23:53;fictionalize dearly;or enormously;jaunty disarm;unkempt swath;2026-02-03T23:18:50
8a5b2390-7452-40fb-bfd2-57addb27aedb;pepper;decision wildly;spiffy;2026-02-03T17:54:32;but knuckle;alongside suspiciously incidentally;form reassuringly promptly;drat;2026-02-03T22:44:27
707b0ca1-5cb5-4cdf-88c2-453ad82ddc02;since if oof;burdensome;yum instead;2026-02-03T12:57:58;aha;oof;esteemed ameliorate past;boo;2026-02-03T21:19:39
6c3ac3fc-2bbc-4376-a181-3b430411080d;fooey;yet briskly;usable;2026-02-03T10:49:36;table mockingly meanwhile;which kissingly;opposite;boo dimly warming;2026-02-03T23:44:34
