conversation_id;conversation_type;name;description;avatar_url;reference_type;reference_id;last_message_preview;last_message_at;last_message_sender_id;message_count;is_archived;is_pinned
1ff837c7-ca9d-4d67-b0ad-2d28404b8db9;farm;flimsy doubter;before atrium;an;an lest;norm slake;yum;2026-02-03T18:18:51;uh-huh modulo;17252;23880;5191
129bfa9c-0585-4cee-a2cf-ce383840a53b;even foolishly anneal;viciously crocodile;supposing irresponsible questioningly;sans yowza range;shore once;cool gosh;grumpy unwritten legislature;2026-02-03T14:44:41;dusk goodwill lean;21464;20450;31975
510e7219-f939-459b-81cc-a09ff224ad14;ack;moist;disbar;meaningfully duh very;capsize busily;until;inasmuch infamous;2026-02-03T12:31:28;account attribute;23954;198;455
910f3fc3-7c42-4261-9a35-f199e403a1a9;team ferociously uh-huh;straw;but notwithstanding comparison;small since;idealistic;athletic;worriedly cone because;2026-02-03T14:42:31;quicker hence;29183;8657;11534
600cc7a7-c0e4-45ba-a986-cd62457a599a;excepting fairly;within overspend oof;where forgery char;biodegradable punctual attribute;waist anenst;fooey;happily;2026-02-04T01:37:45;quarterly whoever;1503;22079;3076
59088211-165b-4c27-8a58-36ce57fd1536;spew;up stigmatize yuck;ouch narrowcast uproot;boohoo physically politely;madly;rival;wearily if;2026-02-04T05:30:00;verbally fair digitize;897;13527;3953
da5d6f28-eda0-4845-9ee2-e22372b3e417;unless scram;sonar aside wring;because;thoroughly;lustrous puzzled boldly;design rural subtract;to;2026-02-03T10:39:13;past offensively;29451;17061;24457
2cb4fa8b-cff7-4981-9789-f47c1eda3a69;which fat emerge;bowler drum oof;politely alongside;nearly giggle sympathetically;vain;meh;boohoo;2026-02-03T18:58:37;swiftly;24323;3043;5517
23d19c38-1cc6-426b-a142-bce24562f70b;immediate whereas;ah annually mmm;an gee;geez knotty;unbearably agile state;unused worthless that;stoop;2026-02-03T20:51:55;extra-large anti colligate;21401;9595;17157
61b76281-ed98-438d-a660-faf291cafeb0;without;follower blank violin;than into smoggy;indeed trust;sick than;crooked whoever unfurl;when quarrelsomely beloved;2026-02-04T07:00:06;lest;18401;9710;2272
